"item_name_updated","period","avg_cost"
"Masala Chai Soft Serve","P03-2026",1.2500
"Sweet Cardamom Yogurt","P03-2026",0.8100
"Vanilla Mango Lassi Soft Serve","P03-2026",0.9300
"Chocolate Chai Soft Serve","P03-2026",0.8400
"Mango Lassi Soft Serve","P03-2026",0.8400
"BYO Grain Bowl","P03-2026",1.7300
"BYO Greens + Grains Bowl","P03-2026",1.7500
"BYO Indian Burrito","P03-2026",2.7100
"BYO Salad Bowl","P03-2026",1.9900
"Tandoori Paneer Burrito","P03-2026",3.3300
"Chicken Tikka Burrito","P03-2026",2.9600
"Spicy Chicken Burrito","P03-2026",2.6000
"Butter Chicken Burrito","P03-2026",3.8300
"Saag Paneer","P03-2026",2.8400
"Chicken Tikka Masala","P03-2026",3.4400
"Lamb Kofta Korma","P03-2026",4.0700
"Pick 2 Combo Plate","P03-2026",0.9200
"Coconut Veggie Curry","P03-2026",3.7500
"Chicken Curry","P03-2026",3.3900
"Aloo Gobhi","P03-2026",2.3500
"Butter Chicken","P03-2026",3.4500
"Paneer Butter Masala","P03-2026",3.6600
"Paneer Tikka Masala","P03-2026",3.6500
"Saag Chole","P03-2026",1.3700
"Kids Meal","P03-2026",0.9600
"Kingfisher","P05-2026",1.5189
"Wild Kombucha - Mango Peach","P03-2026",3.2600
"Spindrift - Lemon","P04-2026",1.1600
"Open Water Sparkling Water","P04-2026",1.1900
"Mango Lassi for a Group - 1/2 Gallon","P04-2026",6.8500
"Naan","P04-2026",0.4900
"Coconut Veggie Curry","P05-2026",3.8584
"Pick 2 Combo Plate","P05-2026",0.9127
"Butter Chicken Burrito","P05-2026",4.1230
"Tandoori Paneer Burrito","P05-2026",3.5512
"Chicken Tikka Burrito","P05-2026",3.2508
"Roti","P05-2026",0.6792
"Olipop - Lemon Lime","P03-2026",1.8600
"Olipop - Root Beer","P03-2026",2.1600
"Homemade Juice","P03-2026",
"Spindrift - Grapefruit","P03-2026",1.0700
"Spindrift - Lemon","P03-2026",1.1200
"Open Water Sparkling Water","P03-2026",1.1700
"Iced Oat Masala Chai","P03-2026",1.9200
"Blossom Lassi","P03-2026",1.3300
"LaCroix - Grapefruit","P03-2026",0.6200
"Wild Kombucha - Ginger","P03-2026",3.2600
"Olipop - Cola","P03-2026",1.8600
"Mango Lassi","P03-2026",1.4100
"Open Water Still Water","P03-2026",1.2100
"Icaro - Spearmint Yerba Mate","P03-2026",2.1200
"Mont Gravet Rose-gl","P03-2026",1.6800
"Indaba Sauvignon Blanc-gl","P03-2026",1.5500
"Indaba Sauvignon Blanc Bottle","P03-2026",6.5400
"Borsao Granache-gl","P03-2026",1.6500
"Mont Gravet Rose Bottle","P03-2026",7.1000
"Spiked Lassi","P03-2026",1.2100
"Cardamom Mint Julep","P03-2026",2.4900
"Cotton + Reed White Rum","P03-2026",1.3200
"Masala Chai","P03-2026",1.6000
"Masala Chai - Oat Milk","P03-2026",1.9300
"Garlic Naan","P03-2026",0.5900
"Cucumber Raita","P03-2026",0.4300
"Samosa Chaat","P03-2026",2.1900
"Side of Sauce","P03-2026",
"Side of Veggie","P03-2026",
"That Fire Hot Sauce (Bottle)","P03-2026",3.4100
"Mini Samosas","P03-2026",1.1700
"That Fire Hot Sauce - Side","P03-2026",0.4400
"Naan","P03-2026",0.4900
"Side of Main","P03-2026",
"Side of Grain","P03-2026",
"Masala Chai - Oat Milk","P03-2026",1.9300
"Mango Lassi","P03-2026",1.4100
"Olipop - Lemon Lime","P03-2026",1.8600
"Masala Chai","P03-2026",1.6000
"Icaro - Spearmint Yerba Mate","P03-2026",2.1200
"Iced Oat Masala Chai","P03-2026",1.9200
"Open Water Still Water","P03-2026",1.2100
"Spindrift - Grapefruit","P03-2026",1.0700
"Homemade Juice","P03-2026",
"Maine Root Fountain Soda","P03-2026",0.3600
"Wild Kombucha - Mango Peach","P03-2026",3.2600
"Wild Kombucha - Ginger","P03-2026",3.2600
"Spindrift - Lemon","P03-2026",1.1200
"Blossom Lassi","P03-2026",1.3300
"Spindrift - Lemon","P05-2026",1.1592
"Chicken Tikka Bowl","P03-2026",0.6100
"Spiced Cauli + Quinoa Bowl","P03-2026",0.6100
"Spicy Chili Chicken Bowl","P03-2026",0.6100
"Lamb Kebab Bowl","P03-2026",0.6100
"Paneer Tikka Bowl","P03-2026",0.6100
"Chicken Tikka + Avocado Salad","P03-2026",0.6100
"Butter Chicken Burrito","P03-2026",1.0300
"Tandoori Paneer Burrito","P03-2026",1.0300
"BYO Indian Burrito","P03-2026",1.0300
"Butter Chicken","P03-2026",3.3300
"Chicken Tikka Masala","P03-2026",3.3300
"Saag Paneer","P03-2026",2.7200
"Aloo Gobhi","P03-2026",2.2300
"Paneer Butter Masala","P03-2026",3.5400
"BYO Greens + Grains Bowl","P03-2026",0.6100
"BYO Grain Bowl","P03-2026",0.6100
"BYO Salad Bowl","P03-2026",0.6100
"Sweet Cardamom Yogurt","P03-2026",0.8100
"Masala Chai Cookies","P03-2026",0.3300
"Kids Meal","P03-2026",1.0500
"Rupee Lager","P03-2026",1.9500
"Sixpoint Bengali IPA","P03-2026",1.3500
"Kingfisher","P03-2026",1.5200
"DC Brau Pils","P03-2026",1.5500
"White Claw Ruby Grapefruit","P03-2026",1.4900
"Pabst Blue Ribbon","P03-2026",0.9900
"White Claw Black Cherry","P03-2026",1.4600
"Mango Lassi","P04-2026",1.4100
"Iced Oat Masala Chai","P04-2026",1.9300
"Olipop - Lemon Lime","P04-2026",1.8600
"Blossom Lassi","P04-2026",1.4400
"Wild Kombucha - Ginger","P04-2026",3.2600
"Olipop - Cola","P04-2026",1.8600
"Wild Kombucha - Mango Peach","P04-2026",3.2600
"Masala Chai - Oat Milk","P04-2026",1.9500
"Spindrift - Grapefruit","P04-2026",1.1200
"Masala Chai","P04-2026",1.6000
"Maine Root Fountain Soda","P04-2026",0.3600
"Strawberry Lassi","P04-2026",1.4400
"Icaro - Spearmint Yerba Mate","P04-2026",2.1200
"Handcrafted Juice for a Group - 1/2 Gallon","P04-2026",
"Chicken Tikka Masala","P04-2026",3.4200
"Lamb Kofta Korma","P04-2026",4.1000
"Aloo Gobhi","P04-2026",2.8300
"Paneer Tikka Masala","P04-2026",3.5400
"Pick 2 Combo Plate","P04-2026",0.8000
"Saag Paneer","P04-2026",2.7300
"Paneer Butter Masala","P04-2026",3.5400
"Butter Chicken","P04-2026",3.4300
"Coconut Veggie Curry","P04-2026",3.8700
"Chicken Curry","P04-2026",3.3700
"Saag Chole","P04-2026",1.2700
"Kids Meal","P04-2026",1.0500
"Tandoori Paneer Burrito","P04-2026",1.0900
"Butter Chicken Burrito","P04-2026",1.0900
"BYO Indian Burrito","P04-2026",1.0900
"Masala Chai Cookies","P04-2026",0.3300
"Sweet Cardamom Yogurt","P04-2026",0.8100
"Mini Samosas","P04-2026",1.1600
"Naan","P04-2026",0.4900
"Side of Grain","P04-2026",
"Garlic Naan","P04-2026",0.5900
"That Fire Hot Sauce - Side","P04-2026",0.4400
"Samosa Chaat","P04-2026",2.2300
"Side of Main","P04-2026",
"Side of Sauce","P04-2026",
"Cucumber Raita","P04-2026",0.4200
"Side of Veggie","P04-2026",
"That Fire Hot Sauce (Bottle)","P04-2026",3.3800
"Garlic Naan","P04-2026",0.5900
"Mini Samosas","P04-2026",1.1600
"Samosa Chaat","P04-2026",2.2300
"Side of Main","P04-2026",
"That Fire Hot Sauce (Bottle)","P04-2026",3.3800
"Naan","P04-2026",0.4900
"Side of Sauce","P04-2026",
"Side of Veggie","P04-2026",
"Side of Grain","P04-2026",
"Roti","P04-2026",0.6800
"Cucumber Raita","P04-2026",0.4200
"Chips + Chutney","P04-2026",0.7300
"That Fire Hot Sauce - Side","P04-2026",0.4400
"Paneer Tikka Bowl","P04-2026",3.3200
"Spicy Chili Chicken Bowl","P04-2026",2.9400
"Chicken Tikka Bowl","P04-2026",2.9100
"Cauliflower + Quinoa Bowl","P04-2026",3.2600
"Chicken Tikka + Avocado Salad","P04-2026",3.1000
"Lamb Kebab Bowl","P04-2026",3.5600
"Harvest Chicken Bowl","P04-2026",3.3900
"Masala Chai Cookies","P04-2026",0.3300
"Swirl Soft Serve","P04-2026",0.9600
"Masala Chai Soft Serve","P04-2026",1.2600
"Sweet Cardamom Yogurt","P04-2026",0.8100
"Vanilla Mango Lassi Soft Serve","P04-2026",0.9500
"Chocolate Chai Soft Serve","P04-2026",0.8400
"Mango Lassi Soft Serve","P04-2026",0.8400
"BYO Grain Bowl","P04-2026",1.7400
"BYO Indian Burrito","P04-2026",2.8800
"BYO Salad Bowl","P04-2026",2.0200
"BYO Greens + Grains Bowl","P04-2026",1.7700
"Tandoori Paneer Burrito","P04-2026",3.4600
"Chicken Tikka Burrito","P04-2026",3.1500
"Spicy Chicken Burrito","P04-2026",2.7900
"Butter Chicken Burrito","P04-2026",4.0200
"Saag Paneer","P04-2026",2.8400
"Chicken Tikka Masala","P04-2026",3.5400
"Pick 2 Combo Plate","P04-2026",0.9200
"Coconut Veggie Curry","P04-2026",3.9900
"Chicken Curry","P04-2026",3.4800
"Butter Chicken","P04-2026",3.5400
"Paneer Butter Masala","P04-2026",3.6600
"Aloo Gobhi","P04-2026",2.9500
"Paneer Tikka Masala","P04-2026",3.6500
"Kids Meal","P04-2026",0.9600
"Wild Kombucha - Mango Peach","P04-2026",3.2600
"Olipop - Lemon Lime","P04-2026",1.8600
"Homemade Juice","P04-2026",
"Olipop - Root Beer","P04-2026",2.1600
"Spindrift - Grapefruit","P04-2026",1.1200
"Open Water Sparkling Water","P04-2026",1.1900
"Blossom Lassi","P04-2026",1.4400
"Maine Root Fountain Soda","P04-2026",0.3600
"Olipop - Cola","P04-2026",1.8600
"Mango Lassi","P04-2026",1.4100
"Open Water Still Water","P04-2026",1.2600
"Spindrift - Lemon","P04-2026",1.1600
"Iced Oat Masala Chai","P04-2026",1.9300
"Wild Kombucha - Ginger","P04-2026",3.2600
"Icaro - Spearmint Yerba Mate","P04-2026",2.1200
"Fresh Young Coconut","P04-2026",3.3300
"Mont Gravet Rose-gl","P04-2026",1.6800
"Borsao Granache-gl","P04-2026",1.6500
"Indaba Sauvignon Blanc-gl","P04-2026",1.5500
"Masala Chai - Oat Milk","P04-2026",1.9500
"Spiked Lassi","P04-2026",1.2100
"Chicken Tikka Bowl","P04-2026",0.6100
"Paneer Tikka Bowl","P04-2026",0.6100
"Spiced Cauli + Quinoa Bowl","P04-2026",0.6100
"Spicy Chili Chicken Bowl","P04-2026",0.6100
"Chicken Tikka + Avocado Salad","P04-2026",0.6100
"Lamb Kebab Bowl","P04-2026",0.6100
"Mango Lassi","P04-2026",1.4100
"Strawberry Lassi","P04-2026",1.4400
"Olipop - Lemon Lime","P04-2026",1.8600
"Masala Chai","P04-2026",1.6000
"Masala Chai - Oat Milk","P04-2026",1.9500
"Icaro - Spearmint Yerba Mate","P04-2026",2.1200
"Wild Kombucha - Mango Peach","P04-2026",3.2600
"Blossom Lassi","P04-2026",1.4400
"Iced Oat Masala Chai","P04-2026",1.9300
"Olipop - Cola","P04-2026",1.8600
"Homemade Juice","P04-2026",
"Spindrift - Lemon","P04-2026",1.1600
"Open Water Still Water","P04-2026",1.2600
"Open Water Sparkling Water","P04-2026",1.1900
"Spindrift - Grapefruit","P04-2026",1.1200
"Maine Root Fountain Soda","P04-2026",0.3600
"BYO Grain Bowl","P04-2026",0.6100
"BYO Salad Bowl","P04-2026",0.6100
"BYO Greens + Grains Bowl","P04-2026",0.6100
"Garlic Naan","P04-2026",0.5900
"Cucumber Raita","P04-2026",0.4200
"Samosa Chaat","P04-2026",2.2300
"That Fire Hot Sauce (Bottle)","P04-2026",3.3800
"Mini Samosas","P04-2026",1.1600
"Side of Veggie","P04-2026",
"Side of Grain","P04-2026",
"Side of Main","P04-2026",
"That Fire Hot Sauce - Side","P04-2026",0.4400
"Side of Sauce","P04-2026",
"Butter Chicken Burrito","P04-2026",1.0900
"Tandoori Paneer Burrito","P04-2026",1.0900
"BYO Indian Burrito","P04-2026",1.0900
"Butter Chicken","P04-2026",3.4300
"Chicken Tikka Masala","P04-2026",3.4200
"Aloo Gobhi","P04-2026",2.8300
"Paneer Butter Masala","P04-2026",3.5400
"Saag Paneer","P04-2026",2.7300
"Sweet Cardamom Yogurt","P04-2026",0.8100
"Masala Chai Cookies","P04-2026",0.3300
"Kids Meal","P04-2026",1.0500
"Rupee Lager","P04-2026",1.9500
"Sixpoint Bengali IPA","P04-2026",1.3500
"DC Brau Pils","P04-2026",1.5500
"Kingfisher","P04-2026",1.5200
"White Claw Ruby Grapefruit","P04-2026",1.4900
"White Claw Black Cherry","P04-2026",1.4600
"Pabst Blue Ribbon","P04-2026",0.9900
"DC Brau Pils - Gameday","P04-2026",1.5500
"White Claw Black Cherry - Gameday","P04-2026",1.4600
"Pabst Blue Ribbon - Gameday","P04-2026",0.9900
"Spiked Lassi - Gameday","P04-2026",1.2100
"Rupee Lager - Gameday","P04-2026",1.9500
"Kingfisher - Gameday","P04-2026",1.5200
"White Claw Ruby Grapefruit - Gameday","P04-2026",1.4900
"Cauliflower + Quinoa","P05-2026",3.0982
"Harvest Chicken Bowl","P05-2026",3.3340
"Shutdown Bowl - Chicken","P05-2026",2.8604
"Shutdown Bowl - Veg","P05-2026",3.0227
"Butter Chicken","P05-2026",3.5209
"Chicken Tikka Masala","P05-2026",3.4873
"Paneer Butter Masala","P05-2026",3.6605
"Saag Paneer","P05-2026",2.8370
"Aloo Gobhi","P05-2026",2.6294
"Paneer Tikka Masala","P05-2026",3.6269
"Chicken Curry","P05-2026",3.4145
"Lamb Kofta Korma","P05-2026",4.5159
"Saag Chole","P05-2026",1.3774
"Spicy Chicken Burrito","P05-2026",2.8744
"Naan","P05-2026",0.8333
"Garlic Naan","P05-2026",0.9358
"Mini Samosas","P05-2026",1.1641
"Samosa Chaat","P05-2026",2.2090
"Cucumber Raita","P05-2026",0.4164
"That Fire Hot Sauce - Side","P05-2026",0.4336
"That Fire Hot Sauce (Bottle)","P05-2026",3.3675
"Side of Grain","P05-2026",
"Side of Main","P05-2026",
"Side of Sauce","P05-2026",
"Side of Veggie","P05-2026",
"Masala Chai Cookies","P05-2026",0.3366
"Sweet Cardamom Yogurt","P05-2026",0.8068
"Mango Lassi Soft Serve","P05-2026",0.8381
"Masala Chai Soft Serve","P05-2026",1.2718
"Vanilla Mango Lassi Soft Serve","P05-2026",0.9528
"Chocolate Chai Soft Serve","P05-2026",0.8602
"Swirl Soft Serve","P05-2026",0.9755
"Kids Meal","P05-2026",0.9326
"Homemade Juice","P05-2026",
"Maine Root Fountain Soda","P05-2026",0.3488
"Mango Lassi","P05-2026",1.3974
"Blossom Lassi","P05-2026",1.4327
"Strawberry Lassi","P05-2026",1.4327
"Iced Oat Masala Chai","P05-2026",1.9291
"Open Water Still Water","P05-2026",1.2554
"Open Water Sparkling Water","P05-2026",1.1970
"Spindrift - Grapefruit","P05-2026",1.1122
"Spindrift - Lemon","P05-2026",1.1592
"Wild Kombucha - Ginger","P05-2026",3.2633
"Wild Kombucha - Mango Peach","P05-2026",3.2633
"Olipop - Lemon Lime","P05-2026",1.8625
"Olipop - Cola","P05-2026",1.8625
"Icaro - Spearmint Yerba Mate","P05-2026",2.1200
"Fresh Young Coconut","P05-2026",3.3278
"LaCroix - Lime","P05-2026",0.6122
"LaCroix - Grapefruit","P05-2026",0.6215
"Olipop - Root Beer","P05-2026",2.1558
"Masala Chai","P05-2026",1.6021
"Masala Chai - Oat Milk","P05-2026",1.9596
"Mumbai Mule","P05-2026",1.8760
"Spiked Lassi","P05-2026",1.2109
"DC Brau Pils","P05-2026",1.5500
"Rupee Lager","P05-2026",1.9483
"Sixpoint Bengali IPA","P05-2026",1.3471
"Pabst Blue Ribbon","P05-2026",0.9943
"White Claw Black Cherry","P05-2026",1.4642
"White Claw Ruby Grapefruit","P05-2026",1.4922
"Nutrl Strawberry","P05-2026",0.3750
"Nutrl Lime","P05-2026",0.3750
"Nutrl Black Cherry","P05-2026",0.3750
"Indaba Sauvignon Blanc-gl","P05-2026",1.5479
"Mont Gravet Rose-gl","P05-2026",1.6800
"Borsao Granache-gl","P05-2026",1.6454
"Borsao Granache Bottle","P05-2026",6.9548
"DC Brau Pils - Gameday","P05-2026",1.5500
"Kingfisher - Gameday","P05-2026",1.5189
"Rupee Lager - Gameday","P05-2026",1.9483
"White Claw Black Cherry - Gameday","P05-2026",1.4642
"White Claw Ruby Grapefruit - Gameday","P05-2026",1.4922
"Indaba Sauvignon Blanc-gl - Gameday","P05-2026",1.5479
"Spiked Lassi - Gameday","P05-2026",1.2109
"Chicken Tikka Bowl","P05-2026",0.6065
"Spicy Chili Chicken Bowl","P05-2026",0.6065
"Lamb Kebab Bowl","P05-2026",0.6065
"Paneer Tikka Bowl","P05-2026",0.6065
"Chicken Tikka + Avocado Salad","P05-2026",0.6065
"Spiced Cauli + Quinoa Bowl","P05-2026",0.6065
"Butter Chicken Burrito","P05-2026",1.0895
"Tandoori Paneer Burrito","P05-2026",1.0895
"BYO Indian Burrito","P05-2026",1.0895
"Butter Chicken","P05-2026",3.4120
"Chicken Tikka Masala","P05-2026",3.3784
"Chicken Curry","P05-2026",3.3056
"Lamb Kofta Korma","P05-2026",4.4070
"Paneer Butter Masala","P05-2026",3.5516
"Paneer Tikka Masala","P05-2026",3.5180
"Saag Paneer","P05-2026",2.7281
"Saag Chole","P05-2026",1.2685
"Coconut Veggie Curry","P05-2026",3.7495
"Aloo Gobhi","P05-2026",2.5205
"Pick 2 Combo Plate","P05-2026",0.8038
"BYO Salad Bowl","P05-2026",0.6065
"BYO Grain Bowl","P05-2026",0.6065
"BYO Greens + Grains Bowl","P05-2026",0.6065
"Kids Meal","P05-2026",1.0260
"Naan","P05-2026",0.8333
"Garlic Naan","P05-2026",0.9358
"Mini Samosas","P05-2026",1.1641
"Samosa Chaat","P05-2026",2.2090
"Cucumber Raita","P05-2026",0.4164
"That Fire Hot Sauce - Side","P05-2026",0.4336
"That Fire Hot Sauce (Bottle)","P05-2026",3.3675
"Side of Grain","P05-2026",
"Side of Main","P05-2026",
"Side of Sauce","P05-2026",
"Side of Veggie","P05-2026",
"Masala Chai Cookies","P05-2026",0.3366
"Sweet Cardamom Yogurt","P05-2026",0.8068
"Mango Lassi","P05-2026",1.3974
"Blossom Lassi","P05-2026",1.4327
"Strawberry Lassi","P05-2026",1.4327
"Masala Chai","P05-2026",1.6021
"Masala Chai - Oat Milk","P05-2026",1.9596
"Iced Oat Masala Chai","P05-2026",1.9291
"Homemade Juice","P05-2026",
"Maine Root Fountain Soda","P05-2026",0.3488
"Spindrift - Lemon","P05-2026",1.1592
"Spindrift - Grapefruit","P05-2026",1.1122
"Wild Kombucha - Mango Peach","P05-2026",3.2633
"Wild Kombucha - Ginger","P05-2026",3.2633
"Icaro - Spearmint Yerba Mate","P05-2026",2.1200
"Olipop - Lemon Lime","P05-2026",1.8625
"Open Water Still Water","P05-2026",1.2554
"Open Water Sparkling Water","P05-2026",1.1970
"Olipop - Cola","P05-2026",1.8625
"Handcrafted Juice for a Group - 1/2 Gallon","P05-2026",
"Mango Lassi for a Group - 1/2 Gallon","P05-2026",6.8515
"Chicken Tikka Bowl","P05-2026",0.6065
"Spicy Chili Chicken Bowl","P05-2026",0.6065
"Lamb Kebab Bowl","P05-2026",0.6065
"Paneer Tikka Bowl","P05-2026",0.6065
"Chicken Tikka + Avocado Salad","P05-2026",0.6065
"Spiced Cauli + Quinoa Bowl","P05-2026",0.6065
"Butter Chicken","P05-2026",3.4120
"Chicken Tikka Masala","P05-2026",3.3784
"Paneer Butter Masala","P05-2026",3.5516
"Aloo Gobhi","P05-2026",2.5205
"Saag Paneer","P05-2026",2.7281
"Pick 2 Combo Plate","P05-2026",0.8038
"Butter Chicken Burrito","P05-2026",1.0895
"Tandoori Paneer Burrito","P05-2026",1.0895
"BYO Indian Burrito","P05-2026",1.0895
"BYO Salad Bowl","P05-2026",0.6065
"BYO Grain Bowl","P05-2026",0.6065
"BYO Greens + Grains Bowl","P05-2026",0.6065
"Kids Meal","P05-2026",1.0260
"Naan","P05-2026",0.8333
"Garlic Naan","P05-2026",0.9358
"Mini Samosas","P05-2026",1.1641
"Samosa Chaat","P05-2026",2.2090
"Cucumber Raita","P05-2026",0.4164
"That Fire Hot Sauce - Side","P05-2026",0.4336
"That Fire Hot Sauce (Bottle)","P05-2026",3.3675
"Side of Grain","P05-2026",
"Side of Main","P05-2026",
"Side of Sauce","P05-2026",
"Side of Veggie","P05-2026",
"Masala Chai Cookies","P05-2026",0.3366
"Sweet Cardamom Yogurt","P05-2026",0.8068
"Mango Lassi","P05-2026",1.3974
"Strawberry Lassi","P05-2026",1.4327
"Iced Oat Masala Chai","P05-2026",1.9291
"Masala Chai","P05-2026",1.6021
"Masala Chai - Oat Milk","P05-2026",1.9596
"Homemade Juice","P05-2026",
"Maine Root Fountain Soda","P05-2026",0.3488
"Icaro - Spearmint Yerba Mate","P05-2026",2.1200
"Spindrift - Grapefruit","P05-2026",1.1122
"Wild Kombucha - Ginger","P05-2026",3.2633
"Wild Kombucha - Mango Peach","P05-2026",3.2633
"Olipop - Cola","P05-2026",1.8625
"Olipop - Lemon Lime","P05-2026",1.8625
"Open Water Still Water","P05-2026",1.2554
"Open Water Sparkling Water","P05-2026",1.1970
